wall_angle,num_moves,vertical_gain,horizontal_movement,average_move_distance,max_move_distance,direction_changes,average_hand_hold_size,min_hand_hold_size,foothold_ratio,crimp_count,sloper_count,avg_hold_difficulty,difficulty_score,grade
40,5,291.0,143.1,66.0,86.7,1,13.8,4.5,0.43,1,4,0.5,4.57,V4
40,7,234.0,358.7,67.7,87.9,3,13.8,5.6,0.44,1,5,0.467,5.53,V5
40,5,245.1,233.3,73.4,88.5,1,10.3,3.4,0.71,3,3,0.657,5.11,V5
40,6,264.1,199.2,62.6,81.6,3,14.1,4.8,0.62,1,5,0.512,4.98,V4
40,6,228.6,222.8,63.4,84.1,4,11.1,3.3,0.62,2,3,0.487,5.63,V5
40,6,264.3,162.3,52.3,83.5,2,8.3,3.5,0.62,5,2,0.725,5.53,V5
40,6,235.5,181.9,51.3,76.6,1,10.8,3.2,0.5,3,0,0.4,3.91,V4
40,8,266.1,333.7,60.5,89.3,3,9.6,3.2,0.5,5,2,0.6,6.17,V6
40,7,221.3,253.1,64.1,88.3,5,9.4,3.2,0.56,4,2,0.567,6.74,V6
40,5,264.0,144.7,65.6,87.9,2,12.6,5.5,0.43,1,2,0.357,4.67,V4
40,5,272.5,224.6,70.6,87.7,3,9.8,5.2,0.43,3,3,0.657,6.29,V6
40,5,227.4,125.6,58.0,82.1,2,11.6,4.4,0.43,2,1,0.4,4.55,V4
40,9,255.0,350.1,53.5,79.3,5,10.8,3.3,0.45,4,4,0.573,6.53,V6
40,5,264.5,218.6,77.0,83.7,3,9.9,5.0,0.43,4,3,0.771,6.63,V6
40,7,249.4,273.5,57.2,88.5,6,14.5,5.6,0.44,1,7,0.578,6.81,V6
40,7,264.0,289.8,63.5,85.1,5,12.0,3.5,0.56,2,3,0.444,6.06,V5
40,5,225.4,170.6,69.4,89.1,1,14.5,12.0,0.57,0,5,0.457,4.32,V4
40,5,240.6,126.0,56.3,73.4,1,13.8,5.0,0.43,2,4,0.614,4.32,V4
40,8,239.3,299.3,53.6,85.3,5,10.2,3.2,0.5,4,3,0.57,6.58,V6
40,5,217.4,222.6,67.7,89.3,2,12.5,4.4,0.43,2,3,0.543,5.32,V5
40,8,266.0,263.2,51.2,86.4,6,10.2,3.2,0.6,3,3,0.49,6.57,V6
40,5,240.6,176.5,61.4,70.2,4,11.0,5.1,0.57,2,1,0.4,4.9,V4
40,7,238.8,234.7,53.0,89.4,3,10.3,3.3,0.33,3,2,0.478,5.76,V5
40,8,249.7,440.5,67.3,88.1,6,11.1,4.8,0.3,4,2,0.52,7.41,V7
40,5,248.8,178.2,59.6,77.8,2,9.7,4.3,0.57,4,2,0.7,5.29,V5
40,6,278.3,166.3,63.5,89.2,2,10.5,3.4,0.75,4,4,0.75,5.63,V5
40,7,225.4,183.0,48.6,80.9,2,7.5,3.3,0.67,7,2,0.833,5.79,V5
40,6,251.9,181.3,54.5,82.7,2,8.0,3.2,0.5,5,2,0.725,5.76,V5
40,7,269.5,245.7,55.9,75.2,2,12.2,4.1,0.56,1,6,0.522,4.62,V4
40,5,240.0,196.5,75.2,88.5,1,9.4,3.5,0.57,3,0,0.443,4.78,V4
40,6,250.6,275.4,64.8,86.7,4,11.7,3.2,0.38,1,4,0.45,5.94,V5
40,5,237.4,108.6,55.4,86.8,3,14.5,12.7,0.57,0,5,0.457,4.77,V4
40,5,255.9,155.5,61.4,87.9,2,14.7,5.1,0.57,1,4,0.5,4.63,V4
40,5,262.7,221.1,72.8,88.8,2,11.7,3.2,0.57,2,2,0.471,5.04,V5
40,8,232.2,369.7,60.5,83.0,3,12.8,3.2,0.6,2,4,0.46,5.16,V5
40,7,266.5,310.7,65.3,83.3,5,14.1,5.2,0.44,2,5,0.556,6.38,V6
40,6,226.3,292.7,63.7,87.4,3,11.1,3.2,0.5,3,3,0.588,5.82,V5
40,7,222.1,291.3,58.8,80.1,3,10.1,4.4,0.56,4,2,0.567,5.53,V5
40,5,266.5,129.1,60.4,83.9,4,11.7,3.5,0.43,3,2,0.586,6.0,V5
40,5,263.6,124.4,56.8,73.1,1,12.5,3.2,0.43,1,2,0.357,3.65,V3
40,7,229.3,137.9,42.7,56.4,4,11.8,3.7,0.44,3,4,0.589,5.01,V5
40,6,251.3,220.9,62.5,88.4,4,11.0,4.1,0.5,3,2,0.525,6.05,V5
40,5,209.6,136.5,57.9,73.7,3,12.1,4.1,0.43,2,3,0.543,5.09,V5
40,6,268.0,150.0,54.6,73.0,2,11.2,3.2,0.5,3,2,0.525,4.61,V4
40,5,246.2,191.1,69.4,83.3,2,12.3,5.5,0.43,2,2,0.471,4.97,V4
40,5,271.2,128.5,67.0,89.1,4,13.0,4.4,0.43,2,3,0.543,6.06,V5
40,6,260.6,323.3,75.2,86.6,4,12.4,3.6,0.62,2,4,0.55,6.03,V5
40,6,264.8,212.4,56.4,81.7,4,12.0,3.6,0.5,2,2,0.425,5.34,V5
40,7,257.8,254.8,54.0,85.7,3,12.2,4.1,0.44,2,3,0.444,5.25,V5
40,6,214.9,203.9,56.9,85.7,3,9.4,3.2,0.62,4,2,0.625,5.7,V5
40,5,228.3,73.8,49.7,65.5,1,13.5,10.3,0.43,0,2,0.243,2.86,V3
40,6,245.3,187.6,55.4,74.5,3,11.6,3.3,0.5,3,3,0.588,5.23,V5
40,5,226.0,113.4,53.7,83.5,1,13.7,5.6,0.57,1,5,0.571,4.24,V4
40,6,241.4,176.9,59.3,87.4,2,9.7,3.4,0.5,3,2,0.525,5.26,V5
40,10,243.9,416.8,52.9,85.5,6,11.3,3.4,0.5,4,4,0.533,6.97,V6
40,7,256.6,292.3,58.5,85.5,4,13.0,3.3,0.33,2,4,0.5,6.0,V5
40,8,263.5,271.9,55.0,74.9,4,10.9,3.2,0.5,4,3,0.57,5.83,V5
40,8,215.4,249.4,52.0,75.3,2,11.9,3.7,0.6,2,5,0.51,4.58,V4
40,5,243.1,228.5,77.9,86.6,4,11.2,3.5,0.43,3,3,0.657,6.69,V6
40,9,210.8,410.4,58.5,78.0,4,9.0,4.1,0.45,6,2,0.627,6.5,V6
40,10,227.8,407.8,55.7,75.1,4,13.2,3.4,0.42,2,5,0.442,5.61,V5
40,7,263.0,324.6,65.4,88.4,4,7.3,3.2,0.67,6,1,0.689,6.74,V6
40,8,270.7,336.8,57.8,88.2,4,10.5,3.4,0.5,3,1,0.39,5.78,V5
40,8,233.4,227.6,44.4,71.9,5,11.1,3.2,0.4,4,4,0.62,6.22,V6
40,6,227.5,214.5,59.4,69.8,3,14.2,5.1,0.38,1,4,0.45,4.73,V4
40,7,239.8,295.0,61.1,89.5,2,13.0,4.5,0.56,1,2,0.3,4.43,V4
40,7,249.5,257.6,54.9,70.2,4,11.7,4.3,0.56,3,5,0.644,5.66,V5
40,7,280.1,189.4,51.2,74.4,5,11.2,3.6,0.56,3,4,0.589,5.99,V5
40,8,259.9,377.1,58.8,84.9,5,9.7,3.4,0.4,4,1,0.47,6.56,V6
40,7,244.4,268.1,58.7,89.8,4,10.6,3.9,0.44,4,3,0.622,6.53,V6
40,7,246.8,373.8,68.3,88.4,1,11.5,3.7,0.56,3,4,0.589,5.13,V5
40,9,227.8,514.6,67.9,86.4,5,11.2,3.2,0.55,4,5,0.618,6.98,V6
40,9,253.6,491.2,65.0,87.7,6,12.1,3.2,0.27,3,4,0.5,7.36,V7
40,6,226.8,223.3,58.4,85.5,2,11.8,3.7,0.62,3,3,0.588,5.02,V5
40,5,244.0,201.3,75.1,88.4,2,8.6,4.4,0.71,4,0,0.557,5.37,V5
40,6,230.1,318.1,73.1,87.9,4,11.3,3.2,0.5,2,4,0.55,6.29,V6
40,7,250.3,238.6,55.4,82.8,1,8.9,3.3,0.44,5,3,0.711,5.45,V5
40,7,247.5,333.6,62.1,89.0,6,10.5,3.5,0.56,4,3,0.622,7.2,V6
40,6,243.0,238.7,62.3,89.7,1,10.8,4.1,0.5,3,2,0.525,4.9,V4
40,7,252.5,267.1,56.3,82.6,4,12.1,3.2,0.44,3,5,0.644,6.21,V6
40,8,276.0,292.8,55.7,89.1,4,5.6,3.5,0.5,9,0,0.82,7.45,V7
40,6,270.5,286.4,70.8,87.3,5,8.7,3.2,0.62,5,2,0.725,7.18,V6
40,7,268.6,212.1,55.1,87.4,3,9.5,3.4,0.44,4,2,0.567,5.91,V5
40,5,255.4,213.0,68.8,83.2,3,13.0,5.2,0.43,2,4,0.614,5.73,V5
40,8,258.2,369.9,59.5,88.5,3,10.9,3.2,0.5,4,4,0.62,6.08,V5
40,6,231.8,231.0,67.3,86.5,3,11.3,3.4,0.62,3,2,0.525,5.48,V5
40,5,242.0,163.5,68.1,87.1,2,11.5,3.5,0.57,2,4,0.614,5.34,V5
40,5,251.9,99.2,55.4,87.1,3,12.3,3.5,0.43,1,3,0.429,5.08,V5
40,7,263.2,172.4,47.2,87.4,3,10.2,3.4,0.44,4,4,0.678,6.02,V5
40,9,272.4,438.7,63.7,87.9,4,12.6,3.2,0.55,2,6,0.518,6.13,V6
40,5,234.7,239.6,71.1,87.9,2,7.8,3.7,0.43,5,1,0.743,6.32,V6
40,5,247.2,85.2,62.3,86.5,3,9.9,3.9,0.43,3,2,0.586,5.86,V5
40,9,250.3,475.2,64.4,81.7,7,10.5,3.7,0.55,4,5,0.618,7.63,V7
40,7,262.4,281.8,57.2,77.0,2,10.6,3.2,0.67,4,4,0.678,5.14,V5
40,5,286.5,145.2,63.4,86.1,2,7.9,3.4,0.43,4,2,0.7,5.97,V5
40,8,226.9,286.0,53.9,88.1,3,6.4,3.2,0.6,8,2,0.84,6.83,V6
40,7,275.7,185.7,52.1,89.2,4,11.5,3.4,0.56,3,2,0.478,5.69,V5
40,7,265.9,232.1,52.7,78.9,3,13.9,4.1,0.33,2,6,0.611,5.55,V5
40,6,226.2,150.5,56.5,86.8,2,12.8,5.6,0.62,2,3,0.487,4.64,V4
40,6,217.6,258.1,65.6,83.7,3,13.1,3.2,0.62,2,4,0.55,5.29,V5
40,7,282.0,304.4,59.0,88.2,1,9.0,3.6,0.67,5,3,0.711,5.33,V5
40,6,248.8,179.1,56.1,89.7,1,11.7,3.2,0.62,3,4,0.65,4.9,V4
40,6,233.3,294.9,72.4,87.9,4,11.4,5.3,0.62,3,4,0.65,6.39,V6
40,5,260.4,165.5,64.9,88.2,1,14.6,11.9,0.43,0,3,0.314,3.97,V4
40,8,209.4,312.6,52.8,84.6,3,9.6,3.3,0.4,5,3,0.65,6.18,V6
40,8,242.8,370.9,65.1,85.7,4,9.8,3.4,0.4,4,1,0.47,6.3,V6
40,7,270.7,263.0,56.5,80.5,6,10.5,3.4,0.44,4,2,0.567,6.85,V6
40,10,215.0,464.0,58.4,89.7,5,11.6,3.3,0.25,4,4,0.533,7.16,V6
40,5,256.1,198.8,67.4,87.8,2,11.1,3.6,0.43,2,3,0.543,5.38,V5
40,6,238.2,213.4,61.0,81.8,3,12.8,5.0,0.5,2,2,0.425,4.97,V4
40,5,260.6,114.8,60.8,81.1,2,10.7,3.4,0.57,3,3,0.657,5.21,V5
40,7,246.3,230.0,50.0,76.7,6,14.0,5.0,0.33,1,4,0.411,6.02,V5
40,8,228.6,274.9,49.0,77.5,3,8.4,3.4,0.3,6,1,0.63,6.07,V5
40,7,234.2,242.3,61.9,76.1,2,13.2,3.4,0.44,2,4,0.5,4.8,V4
40,6,267.0,290.9,74.8,88.8,2,12.8,3.4,0.5,1,4,0.45,5.14,V5
40,8,253.2,356.4,62.3,83.5,4,9.0,3.2,0.5,5,3,0.65,6.63,V6
40,8,235.4,258.3,50.5,72.8,2,13.9,3.4,0.4,1,5,0.43,4.37,V4
40,6,278.1,178.6,62.3,79.3,1,12.4,3.2,0.5,1,4,0.45,4.23,V4
40,6,240.4,194.4,59.2,79.5,4,12.1,5.2,0.5,2,3,0.487,5.51,V5
40,6,243.9,277.6,62.4,88.8,5,12.1,3.5,0.62,2,2,0.425,5.89,V5
40,9,276.1,329.1,51.0,89.7,7,8.8,3.2,0.18,6,3,0.673,8.46,V8
40,9,247.5,310.7,50.4,77.9,5,9.7,3.2,0.55,4,4,0.573,6.36,V6
40,6,227.5,213.9,61.2,81.7,1,14.1,10.8,0.62,0,5,0.412,3.85,V3
40,5,272.5,157.1,61.7,86.0,3,10.7,3.5,0.43,3,3,0.657,5.98,V5
40,7,247.7,200.8,51.8,84.7,5,10.3,3.3,0.67,4,2,0.567,6.15,V6
40,7,256.9,334.6,69.0,89.7,5,9.7,3.3,0.56,4,3,0.622,7.02,V6
40,6,217.9,208.8,61.5,82.3,3,12.9,5.0,0.38,2,3,0.487,5.36,V5
40,7,234.4,178.2,50.1,80.2,4,14.1,5.6,0.56,1,5,0.467,5.14,V5
40,6,277.6,138.0,53.7,79.9,2,10.5,3.2,0.62,3,2,0.525,4.68,V4
40,7,270.7,304.1,61.0,76.1,4,10.4,3.4,0.33,3,3,0.533,6.08,V5
40,6,271.7,142.0,50.4,75.0,2,12.3,4.9,0.5,2,4,0.55,4.57,V4
40,5,231.6,108.9,53.1,87.4,0,9.1,3.4,0.43,4,2,0.7,4.91,V4
40,7,257.6,318.0,64.9,85.9,3,10.9,4.1,0.44,3,2,0.478,5.68,V5
40,10,245.3,390.3,50.9,85.1,4,9.9,3.2,0.5,5,3,0.558,6.3,V6
40,6,245.3,296.1,67.7,88.4,5,6.9,3.2,0.38,5,0,0.6,7.28,V7
40,9,271.6,402.9,57.0,79.7,4,13.0,5.1,0.45,3,5,0.545,5.95,V5
40,8,260.7,396.9,65.1,84.5,6,12.2,4.1,0.5,2,5,0.51,6.84,V6
40,5,252.7,85.4,56.3,65.4,3,12.0,4.3,0.43,1,2,0.357,4.25,V4
40,7,262.4,363.1,65.5,84.9,2,12.3,3.3,0.44,1,4,0.411,4.95,V4
40,6,243.3,194.9,53.2,78.2,5,13.7,4.3,0.5,1,4,0.45,5.51,V5
40,5,282.1,165.3,66.7,86.6,2,11.4,4.5,0.43,2,3,0.543,5.3,V5
40,5,220.9,182.6,65.1,87.2,2,11.1,4.3,0.43,2,2,0.471,5.1,V5
40,7,261.2,229.6,54.7,79.8,6,14.5,10.8,0.56,0,4,0.322,5.55,V5
40,10,231.9,409.1,52.2,82.4,7,9.3,3.2,0.42,6,4,0.667,7.94,V7
40,7,241.4,357.6,65.5,88.3,4,14.0,5.5,0.44,1,5,0.467,5.88,V5
40,6,253.3,229.1,64.0,88.1,2,11.8,3.3,0.62,2,4,0.55,5.1,V5
40,9,262.3,279.3,49.1,76.4,5,11.0,4.4,0.64,4,4,0.573,6.05,V5
40,8,234.8,450.0,67.3,89.0,4,14.7,5.5,0.6,1,6,0.48,5.78,V5
40,5,263.5,157.0,63.5,89.0,4,14.2,3.2,0.29,1,4,0.5,5.97,V5
40,7,291.0,308.9,58.9,87.7,3,10.6,4.1,0.44,3,2,0.478,5.64,V5
40,6,238.8,218.7,60.7,78.7,3,12.8,4.6,0.5,2,3,0.487,5.06,V5
40,8,243.3,400.6,63.1,88.2,4,10.1,3.4,0.5,4,4,0.62,6.61,V6
40,5,228.9,163.7,67.0,83.5,2,12.6,4.6,0.57,2,4,0.614,5.12,V5
40,6,230.2,224.8,59.3,87.8,1,15.0,11.9,0.38,0,4,0.35,4.1,V4
40,5,259.6,133.6,62.2,83.6,0,10.8,3.4,0.43,3,2,0.586,4.5,V4
40,6,268.5,219.4,59.9,85.4,1,10.5,3.5,0.5,3,2,0.525,4.75,V4
40,5,243.8,177.4,62.1,87.1,2,13.9,4.1,0.29,1,3,0.429,4.89,V4
40,6,227.3,280.2,65.2,89.5,4,8.0,3.2,0.5,4,1,0.562,6.49,V6
40,7,285.6,254.1,57.0,89.8,4,10.3,4.1,0.44,4,3,0.622,6.52,V6
40,8,280.1,164.9,49.5,87.8,3,12.8,4.1,0.3,3,6,0.64,6.07,V5
40,10,218.7,460.3,53.4,89.4,6,12.1,3.2,0.58,3,5,0.508,6.84,V6
40,6,240.6,295.4,72.3,87.0,4,13.7,3.4,0.38,1,4,0.45,5.94,V5
40,6,226.0,208.5,59.0,78.5,1,12.5,4.3,0.5,2,4,0.55,4.44,V4
40,5,246.7,150.6,61.7,84.4,3,10.6,3.4,0.43,3,3,0.657,5.94,V5
40,8,228.6,241.4,45.4,76.9,6,9.6,3.4,0.5,5,1,0.55,6.55,V6
40,7,247.5,246.2,53.4,77.1,5,11.9,3.3,0.56,3,4,0.589,6.06,V5
40,6,257.6,343.7,74.7,88.8,3,7.6,3.3,0.38,5,1,0.662,6.77,V6
40,6,260.4,168.0,57.5,69.9,5,13.2,3.6,0.62,1,5,0.512,5.4,V5
40,5,222.2,124.5,65.3,89.8,3,14.2,3.4,0.71,1,5,0.571,5.21,V5
40,7,238.0,251.7,53.3,85.3,3,13.7,4.5,0.44,2,3,0.444,5.1,V5
40,7,258.3,242.5,50.9,83.7,4,9.3,3.2,0.33,4,1,0.511,6.12,V6
40,5,271.6,131.7,58.8,88.9,2,11.4,4.1,0.43,2,2,0.471,5.0,V4
40,5,266.3,145.8,62.9,78.6,3,11.4,3.7,0.57,3,4,0.729,5.74,V5
40,7,262.7,349.2,71.0,86.6,5,11.0,3.2,0.56,3,3,0.533,6.6,V6
40,5,238.9,212.5,69.6,87.8,2,11.0,3.2,0.57,3,3,0.657,5.56,V5
40,5,264.0,100.8,56.3,87.8,2,12.1,3.7,0.43,2,4,0.614,5.29,V5
40,5,240.6,175.2,73.2,85.9,2,11.1,3.2,0.71,3,3,0.657,5.36,V5
40,8,270.7,397.0,63.2,86.6,2,9.8,3.6,0.6,5,2,0.6,5.58,V5
40,7,281.3,220.3,54.8,76.8,3,12.3,4.5,0.56,3,5,0.644,5.41,V5
40,9,227.8,411.7,54.6,90.0,5,9.4,3.2,0.36,5,4,0.645,7.34,V7
40,8,264.0,319.1,53.7,87.6,3,11.3,3.5,0.5,3,3,0.49,5.52,V5
40,9,258.3,363.6,51.7,69.0,3,13.3,3.2,0.45,2,6,0.518,5.02,V5
40,7,261.2,390.1,70.9,86.9,4,12.5,5.3,0.44,2,2,0.389,5.83,V5
40,11,281.4,492.9,56.8,89.3,7,9.7,3.2,0.54,5,5,0.6,7.93,V7
40,6,240.4,158.0,54.8,85.4,3,14.9,10.8,0.38,0,3,0.287,4.56,V4
40,6,233.2,182.0,55.2,77.8,4,11.9,3.5,0.5,2,2,0.425,5.21,V5
40,9,228.0,251.1,46.2,80.8,2,9.0,3.3,0.64,6,3,0.673,5.39,V5
40,6,248.2,304.0,72.0,90.0,3,13.3,5.2,0.62,1,6,0.575,5.67,V5
40,8,252.6,331.3,60.2,88.4,5,12.5,3.6,0.6,3,2,0.44,6.08,V5
40,7,250.6,183.9,54.0,83.6,2,10.6,3.6,0.56,2,3,0.444,4.73,V4
40,6,215.6,226.0,57.8,86.8,2,11.2,3.2,0.5,2,3,0.487,4.97,V4
40,5,255.8,125.8,60.0,89.7,2,8.0,4.0,0.71,4,1,0.629,5.37,V5
40,6,246.7,158.3,58.5,84.7,3,8.8,3.2,0.38,4,2,0.625,6.11,V5
40,5,231.2,177.1,72.0,84.9,3,11.5,4.8,0.43,1,1,0.286,4.98,V4
40,7,291.0,165.5,51.7,82.9,4,12.1,3.4,0.44,3,4,0.589,5.96,V5
40,5,241.4,155.7,65.2,82.0,3,12.2,4.8,0.43,2,2,0.471,5.26,V5
40,8,264.1,362.2,58.1,85.6,4,9.2,3.3,0.3,6,2,0.68,6.98,V6
40,5,261.2,214.7,71.4,82.5,3,10.4,3.5,0.43,3,1,0.514,5.67,V5
40,8,255.9,289.1,56.4,89.1,5,11.1,4.1,0.5,3,3,0.49,6.43,V6
40,5,252.7,172.0,63.9,75.0,2,10.2,3.7,0.43,3,1,0.514,4.91,V4
40,6,243.5,286.0,75.8,88.9,1,9.8,3.2,0.38,4,3,0.688,5.89,V5
40,6,230.2,207.6,55.8,73.4,3,9.4,3.2,0.5,4,2,0.625,5.49,V5
40,5,268.5,176.0,62.7,84.0,1,12.4,3.5,0.43,1,3,0.429,4.32,V4
40,5,258.6,184.6,65.6,82.2,3,12.7,5.6,0.43,2,4,0.614,5.66,V5
40,5,225.0,175.1,65.3,77.1,3,9.8,4.5,0.43,3,0,0.443,5.22,V5
40,5,233.6,174.0,66.6,85.4,3,10.5,3.7,0.57,3,3,0.657,5.87,V5
40,8,235.8,363.7,60.8,84.8,5,10.4,4.4,0.4,4,3,0.57,6.84,V6
40,10,242.9,289.2,43.2,75.4,5,10.2,3.2,0.33,5,4,0.6,6.62,V6
40,7,249.6,238.3,55.2,83.0,4,12.3,5.5,0.56,2,2,0.389,5.24,V5
40,6,238.2,217.8,60.3,89.2,3,12.2,4.6,0.5,2,3,0.487,5.42,V5
40,6,230.6,248.1,68.6,88.8,3,13.4,3.5,0.38,1,4,0.45,5.54,V5
40,7,245.6,247.7,51.1,77.1,2,9.4,3.2,0.44,5,3,0.711,5.56,V5
40,9,241.4,360.7,56.1,67.9,3,11.9,5.1,0.55,3,5,0.545,5.12,V5
40,5,258.5,176.5,60.2,78.4,1,13.0,5.0,0.43,1,1,0.286,3.63,V3
40,6,230.3,208.0,58.4,84.4,4,10.5,3.4,0.5,4,2,0.625,6.19,V6
40,6,264.1,137.0,51.4,70.2,4,11.2,3.5,0.5,2,4,0.55,5.34,V5
40,8,248.1,320.7,58.7,88.2,4,11.5,3.4,0.7,2,3,0.41,5.48,V5
40,6,249.9,313.3,67.4,85.7,3,11.2,4.5,0.5,3,2,0.525,5.65,V5
40,7,236.3,281.5,54.6,88.3,1,14.7,10.3,0.44,0,5,0.378,4.14,V4
40,6,285.5,242.7,66.9,88.1,3,10.3,3.6,0.5,3,3,0.588,5.97,V5
40,6,226.8,291.5,62.1,86.1,3,8.7,3.7,0.5,5,2,0.725,6.35,V6
40,6,252.6,289.5,68.9,87.5,2,10.0,4.5,0.5,4,2,0.625,5.73,V5
40,5,261.2,191.9,69.9,83.0,1,13.0,4.4,0.43,1,3,0.429,4.39,V4
40,7,227.8,297.2,54.7,88.7,3,7.4,3.2,0.44,6,0,0.633,6.3,V6
40,5,249.7,129.9,63.0,87.3,2,13.3,3.4,0.43,1,2,0.357,4.54,V4
40,6,252.5,222.5,56.5,85.2,2,13.8,3.2,0.5,2,4,0.55,4.88,V4
40,6,246.4,279.7,65.7,86.2,1,9.4,3.2,0.62,4,1,0.562,4.9,V4
40,7,263.0,179.9,53.8,89.8,5,11.0,3.4,0.44,3,3,0.533,6.53,V6
40,8,240.8,389.1,62.1,85.5,5,9.5,3.7,0.4,5,2,0.6,7.05,V6
40,5,258.2,248.1,76.0,84.6,2,13.1,5.0,0.57,1,3,0.429,4.74,V4
40,7,273.1,315.3,63.9,80.7,2,11.4,3.4,0.56,3,2,0.478,4.88,V4
40,6,229.4,275.9,64.1,88.6,2,12.9,5.5,0.38,1,1,0.263,4.53,V4
40,6,245.3,166.2,57.2,82.4,3,10.7,3.4,0.5,3,4,0.65,5.76,V5
40,8,228.2,261.5,50.6,82.9,5,10.4,3.2,0.6,3,1,0.39,5.74,V5
40,6,256.1,124.8,54.8,84.4,3,11.8,3.4,0.5,1,3,0.388,4.9,V4
40,7,230.2,216.3,49.8,90.0,3,13.1,4.8,0.44,2,4,0.5,5.39,V5
40,5,255.6,194.8,67.9,87.9,2,10.9,4.7,0.57,2,1,0.4,4.77,V4
40,5,259.1,143.5,58.3,84.8,3,11.2,3.2,0.57,3,3,0.657,5.63,V5
40,5,237.6,122.0,58.8,86.2,0,12.0,3.3,0.57,2,2,0.471,3.86,V3
40,5,235.8,168.3,67.3,84.0,1,10.0,4.4,0.43,4,2,0.7,5.42,V5
40,8,238.8,310.5,53.3,85.8,5,11.5,5.2,0.3,3,4,0.54,6.69,V6
40,5,254.5,122.9,58.7,69.4,2,11.5,5.2,0.43,2,3,0.543,4.62,V4
40,8,240.6,306.6,54.2,85.7,3,11.9,3.4,0.7,3,4,0.54,5.27,V5
40,5,258.6,218.1,84.0,89.9,2,13.7,5.6,0.43,1,4,0.5,5.44,V5
